	4574
TERRORISM PROVIDE SUPPORT	6
BURGLARY,UNKNOWN TIME	642
WEAPONS POSSESSION 1 & 2	9024
PROSTITUTION	149
USE CHILD TO COMMIT CONT SUB OFF	1
SALES OF PRESCRIPTION	45
BURGLARY,RESIDENCE,UNKNOWN TIM	14122
MONEY LAUNDERING 1 & 2	31
RADIO DEVICES,UNLAWFUL POSSESS	15
TORTURE/INJURE ANIMAL CRUELTY	41
INTOXICATED DRIVING,ALCOHOL	73053
FORGERY,ETC.-MISD.	17528
SMOKING TRANSPORTATION FACILIT	1
NEGLECT/POISON ANIMAL	1
UNAUTHORIZED USE VEHICLE 3	13826
GRAFFITI (ADMINISTRATIVE CODE-	39
PARK R&R,GAMBLING	38
TAMPERING 3,2, CRIMINAL	852
PROSTITUTION, PATRONIZING 4, 3	396
CHILD, ENDANGERING WELFARE	14081
ROBBERY,PHARMACY	998
WEAPONS,PROHIBITED USE	7
LARCENY,GRAND OF BOAT	58
FORGERY-ILLEGAL POSSESSION,VEH	741
GAMBLING 2, PROMOTING, BOOKMAK	31
LARCENY,GRAND OF BICYCLE	3137
RAPE 1,ATTEMPT	1426
GAMBLING 1,PROMOTING,POLICY	80
CONTROLLED SUBSTANCE,SALE 2	806
SALE SCHOOL GROUNDS	2
OBSTR BREATH/CIRCUL	12369
DIS. CON.,AGGRAVATED	47
GRAND LARCENY-CHECK FROM MAILB	260
HOMICIDE, NEGLIGENT, VEHICLE,	78
LARCENY,PETIT BY ACQUIRING LOS	8052
TRESPASS 2, CRIMINAL	60001
EAVESDROPPING	132
FALSE REPORT BOMB	462
RIOT 1	141
CONTROLLED SUBSTANCE,SALE 3	4788
LARCENY,PETIT FROM BOAT	138
SOLICITATION 3,2,1, CRIMINAL	22
ALCOHOLIC BEVERAGES,PUBLIC CON	203
KIDNAPPING 2	315
RECKLESS ENDANGERMENT OF PROPE	1435
LARCENY, PETIT OF MOPED	226
COERCION 1	1315
LOITERING,SCHOOL	2
HOMICIDE,NEGLIGENT,VEHICLE	15
LARCENY,PETIT FROM BUILDING,UN	221734
LARCENY,GRAND OF MOTORCYCLE	7520
ASSAULT 3	438130
UNAUTHORIZED USE VEHICLE 2	5368
LABOR LAW,EMPLOYING CHILDREN	115
LARCENY,GRAND OF AUTO	91883
PROSTITUTION 2, COMPULSORY	30
LARCENY,PETIT FROM PIER	126
DISSEMINATING A FALSE SEX OFFEND	3
IMPAIRED DRIVING,DRUG	725
LARCENY,GRAND BY THEFT OF CREDIT CARD	42892
MARIJUANA, SALE 1, 2 & 3	946
LARCENY,GRAND FROM COIN MACHIN	51
BIGAMY	17
BURGLARY,TRUCK NIGHT	2539
ROBBERY,BANK	3104
POSSESSION HYPODERMIC INSTRUME	587
ARSON 1	161
TRESPASS 4,CRIMINAL SUB 2	1634
NY STATE LAWS,UNCLASSIFIED VIO	186
MATERIAL              OFFENSIV	32
AGGRAVATED SEXUAL ASBUSE	4243
SUPP. ACT TERR 2ND	46
BURGLARY,COMMERCIAL,DAY	12389
WEAPONS,MFR,TRANSPORT,ETC.	13
LABOR TRAFFICKING	2
LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED	1419
ROBBERY,ON BUS/ OR BUS DRIVER	597
EDUCATION LAW	10
LARCENY,GRAND FROM RETAIL STORE, UNATTENDED	3022
BAIL JUMPING 3	1647
LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT	3138
BURGLARY,UNCLASSIFIED,UNKNOWN	1372
UNLAWFUL POSS. WEAPON UPON SCH	59
BAIL JUMPING 1 & 2	565
RAPE 1	8940
ALCOHOLIC BEVERAGE CONTROL LAW	750
MISCHIEF 1,CRIMINAL,EXPLOSIVE	33
CONTEMPT,CRIMINAL	15917
LARCENY,GRAND FROM PERSON, BAG OPEN/DIP	3752
HARASSMENT,SUBD 1,CIVILIAN	235959
LARCENY, PETIT OF AUTO - ATTEM	17
PROSTITUTION 3, PROMOTING UNDE	16
LURING A CHILD	12
ROBBERY,PUBLIC PLACE INSIDE	6745
LARCENY,GRAND FROM STORE-SHOPL	12426
IMPRISONMENT 2,UNLAWFUL	1631
MAKING TERRORISTIC THREAT	495
RECKLESS ENDANGERMENT 1	17842
AIRPOLLUTION	2
ABORTION 2, 1, SELF	1
PERJURY 3,ETC.	84
NY STATE LAWS,UNCLASSIFIED MIS	1309
LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD	2341
PROSTITUTION,PERMITTING	4
LARCENY,GRAND FROM PARKING MET	4
BRIBERY,FRAUD	64
PUBLIC HEALTH LAW,GLUE,UNLAWFU	10
LARCENY,PETIT FROM OPEN AREAS,	76594
ABSCONDING FROM WORK RELEASE 2	17
BREED/TRAIN/HOST ANIMAL FIGHTING	3
NAVIGATION LAW	2
STRANGULATION 1ST	11648
CHILD ABANDONMENT	367
FACILITATION 4, CRIMINAL	49
ROBBERY, PAYROLL	164
LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)	3828
FACILITATION 3,2,1, CRIMINAL	15
ROBBERY,ATM LOCATION	396
ESCAPE 2,1	242
LARCENY,GRAND BY DISHONEST EMP	6692
JOSTLING	299
MISCHIEF, CRIMINAL 3 & 2, OF M	34445
AGRICULTURE & MARKETS LAW,UNCL	200
LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK	15186
FIREWORKS, SALE	539
COMPUTER TAMPER/TRESSPASS	384
SODOMY 3	302
LARCENY,PETIT OF TRUCK	5
RAPE 2	1605
MARIJUANA, SALE 4 & 5	10427
N.Y.C. TRANSIT AUTH. R&R	51
CONTROLLED SUBSTANCE,POSSESS.-	247
PROMOTING SUICIDE ATTEMPT	3
INCOMPETENT PERSON,KNOWINGLY ENDANGERING	22
ENTERPRISE CORRUPTION	14
SOLICITATION 4, CRIMINAL	19
GAMBLING 2, PROMOTING, POLICY-	82
LOITERING 1ST DEGREE FOR DRUG	23
LARCENY,PETIT BY FALSE PROMISE	6702
FALSE REPORT 1,FIRE	729
LARCENY,GRAND FROM PIER, UNATTENDED	168
EDUCATION LAW,STREET TRADE	1
CONTROLLED SUBSTANCE,POSSESS.	16587
FORGERY,DRIVERS LICENSE	3480
STOLEN PROPERTY 2,1,POSSESSION	7046
HEALTH CODE,VIOLATION	30
FORTUNE TELLING	11
MENACING,UNCLASSIFIED	70185
LARCENY,GRAND FROM PERSON,PURS	8547
GENERAL BUSINESS LAW,TICKET SP	282
CRIMINAL CONTEMPT 1	54032
LARCENY,PETIT BY CREDIT CARD U	6496
ABANDON ANIMAL	40
LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED	121739
PROSTITUTION 4,PROMOTING&SECUR	107
LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER	455
CONSPIRACY 6, 5	27
LARCENY,PETIT OF MOTORCYCLE	191
SEX CRIMES	135
CONTROLLED SUBSTANCE,SALE 1	2358
APPEARANCE TICKET FAIL TO RESP	79
OBSCENE MATERIAL - UNDER 17 YE	675
SOLICITATION 5,CRIMINAL	12
LARCENY, GRAND OF MOPED	380
LARCENY,GRAND FROM OPEN AREAS, UNATTENDED	26652
ANARCHY,CRIMINAL	1
BRIBERY,COMMERCIAL	111
