	18840
FELONY ASSAULT	184069
ASSAULT 3 & RELATED OFFENSES	521538
OTHER STATE LAWS (NON PENAL LAW)	4
ABORTION	4
LOITERING/GAMBLING (CARDS, DIC	207
HOMICIDE-NEGLIGENT,UNCLASSIFIE	33
POSSESSION OF STOLEN PROPERTY	29488
OTHER STATE LAWS (NON PENAL LA	5505
BURGLARY	191406
KIDNAPPING	2
OFFENSES INVOLVING FRAUD	17737
INTOXICATED/IMPAIRED DRIVING	48
THEFT OF SERVICES	2778
FRAUDULENT ACCOSTING	2645
OFFENSES AGAINST PUBLIC ADMINI	100118
MISCELLANEOUS PENAL LAW	118721
ALCOHOLIC BEVERAGE CONTROL LAW	750
JOSTLING	299
DANGEROUS DRUGS	348469
OFFENSES AGAINST MARRIAGE UNCL	3
NEW YORK CITY HEALTH CODE	75
LOITERING FOR DRUG PURPOSES	23
ENDAN WELFARE INCOMP	144
ADMINISTRATIVE CODE	11383
RAPE	13791
DISORDERLY CONDUCT	829
FORTUNE TELLING	11
OFFENSES AGAINST THE PERSON	12339
CRIMINAL TRESPASS	66544
LOITERING/DEVIATE SEX	16
FORGERY	49303
KIDNAPPING AND RELATED OFFENSES	2
SEX CRIMES	54970
OFF. AGNST PUB ORD SENSBLTY &	283065
HOMICIDE-NEGLIGENT-VEHICLE	93
ESCAPE 3	167
OTHER OFFENSES RELATED TO THEF	9731
KIDNAPPING & RELATED OFFENSES	2300
NYS LAWS-UNCLASSIFIED VIOLATION	6
OTHER STATE LAWS	233
LOITERING	20
ROBBERY	198772
OTHER TRAFFIC INFRACTION	13
ANTICIPATORY OFFENSES	95
UNLAWFUL POSS. WEAP. ON SCHOOL	59
AGRICULTURE & MRKTS LAW-UNCLASSIFIED	83
THEFT-FRAUD	56762
CRIMINAL MISCHIEF & RELATED OF	505774
NYS LAWS-UNCLASSIFIED FELONY	3755
OFFENSES AGAINST PUBLIC SAFETY	810
GRAND LARCENY OF MOTOR VEHICLE	102061
PETIT LARCENY OF MOTOR VEHICLE	908
DANGEROUS WEAPONS	124235
GRAND LARCENY	429196
HARRASSMENT 2	604070
BURGLAR'S TOOLS	2477
PROSTITUTION & RELATED OFFENSES	842
FRAUDS	32054
UNDER THE INFLUENCE OF DRUGS	3
DISRUPTION OF A RELIGIOUS SERV	47
ARSON	13984
ADMINISTRATIVE CODES	18
UNAUTHORIZED USE OF A VEHICLE	13826
OFFENSES RELATED TO CHILDREN	1346
INTOXICATED & IMPAIRED DRIVING	73730
GAMBLING	2023
MURDER & NON-NEGL. MANSLAUGHTER	4574
VEHICLE AND TRAFFIC LAWS	59140
CHILD ABANDONMENT/NON SUPPORT	367
PETIT LARCENY	822498
